año,codigo_linea,linea,expediciones_anuales,dias_servicio
2023,A3333,Gallarta - SANTURTZI,93398,909
2023,A3334,SANTURTZI - BALMASEDA,13306,909
2023,A3335,MUSKIZ - ZIERBENA - SESTAO,33650,909
2023,A3336,BILBAO - MUSKIZ,56159,909
2023,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,50632,909
2023,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,8669,223
2023,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),23281,751
2023,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,11558,909
2023,A3342,BILBAO - Sodupe - ARTZINIEGA,27770,909
2023,A3343,BILBAO - Sodupe - GORDEXOLA,10591,623
2023,A3411,BILBAO - GETXO - Azkorri,59228,909
2023,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),71115,909
2023,A3422,Areeta/Las Arenas - BERANGO,26640,909
2023,A3451,Areeta/Las Arenas  - Armintza,29356,909
2023,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),29020,909
2023,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),27204,909
2023,A3499,PLENTZIA - GORLIZ,88465,907
2023,A3512,BILBAO - LEKEITIO (Autopista),29799,909
2023,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,14955,909
2023,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,48397,904
2023,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,48934,909
2023,A3516,BILBAO - MUNGIA (Autopista),19793,657
2023,A3517,BILBAO - DERIO - MUNGIA,61630,909
2023,A3518,BILBAO -MUNGIA - BAKIO (Autopista),34017,909
2023,A3522,MUNGIA - DERIO - Gurutzeta/Cruces,20454,909
2023,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,14196,909
2023,A3524,BERMEO - BAKIO,6916,494
2023,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,6675,497
2023,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,17964,807
2023,A3527,BILBAO - MUNGIA - BERMEO (Autopista),45659,883
